"Title","Composer","Publisher","Notes","Condition","Call Number","Acquisition Date","Date Last Performed"
"Brandenburg Concerto no. 2","Bach, Johann Sebastian","Luck's Music Library","Missing cembalo","Good","665 B118 con no.2 L","09-03-2006","08-14-2012"
"Sinfonia in D","Bach, Johann Sebastian","Schott Music","","Excellent","65 B118 sym BWV 42 SM","NaN-NaN-NaN",
"Suite no. 2 for Orchestra","Bach, Johann Sebastian","Luck's Music Library","","Excellent","65 B118 sui no.2 L","NaN-NaN-NaN",
"Suite no. 4 for Orchestra","Bach, Johann Sebastian","Luck's Music Library","","Excellent","65 B118 sui no.4 L","NaN-NaN-NaN",
"Adagio for Strings","Barber, Samuel","G. Schirmer, Inc.","Bowing masters included; missing bass (1, 2, 3, 4)","Excellent","62 B234 arr SCH","12-31-2002","03-09-2022"
"Divertimento for Strings","Bartók, Béla","Boosey & Hawkes","","Good","62 B292 div BH","NaN-NaN-NaN",
"Coriolan Overture","Beethoven, Ludwig van","Henle","Missing violin 1 (4)","Good","61 B415 ovt Op. 62 H","07-30-2013","12-11-2024"
"Piano Concerto no. 1","Beethoven, Ludwig van","Luck's Music Library","Includes extra parts","Good","661 B415 con no.1 L","02-03-2025","11-25-2025"
"Symphony no. 3","Beethoven, Ludwig van","Luck's Music Library","Missing oboe 2","Fair","61 B415 sym no.3 L","NaN-NaN-NaN",
"Symphony no. 4","Beethoven, Ludwig van","Luck's Music Library","Missing timpani; digital scans strings only","Good","61 B415 sym no.4 L","NaN-NaN-NaN",
"Symphony no. 6","Beethoven, Ludwig van","Luck's Music Library","Missing cello (1)","Good","61 B415 sym no.6 L","NaN-NaN-NaN",
"Symphony no. 7","Beethoven, Ludwig van","Barenreiter",,"Excellent","61 B415 sym no.7 B","07-31-2016","10-14-2021"
"Symphony no. 7","Beethoven, Ludwig van","Luck's Music Library",,"Good","61 B415 sym no.7 L","07-31-2016","06-02-2018"
"Symphony no. 9","Beethoven, Ludwig van","Barenreiter","Digital scans include strings only; Marin Alsop (in parts) and Peter Oundjian bowings (included separately). One folder each for winds and strings.","Good","61 B415 sym no.9 B","NaN-NaN-NaN",
"Symphony no. 9","Beethoven, Ludwig van","Luck's Music Library","Digital scans include strings only; one folder each for winds and strings.","Fair","61 B415 sym no.9 L","NaN-NaN-NaN",
"Violin Concerto","Beethoven, Ludwig van","Barenreiter","","Excellent","661 B415 con Op. 61 B","NaN-NaN-NaN",
"Symphonie Fantastique","Berlioz, Hector","Kalmus","Missing cello (1, 6), bass (4, 5)","Fair","61 B515 sym Op. 14 K","07-31-2016","01-24-2025"
"Leila! Dieu puissant (Act 2 Duo) from Les Pecheurs de Perles","Bizet, Georges","Luck's Music Library","","Excellent","61 B625 opr L","NaN-NaN-NaN",
"Concerto Grosso","Bloch, Ernest","Broude Brothers","","Excellent","661 B651 con BB","NaN-NaN-NaN",
"Ein deutsches Requiem / A German Requiem","Brahms, Johannes","Kalmus",,"Excellent","68 B813 req Op. 45 K","04-04-1976","02-26-1998"
"Symphony no. 1","Brahms, Johannes","Other/Unknown","We have parts from four different editions, none of them complete. Consider ordering a full set","Poor","61 B813 sym no.1 other","NaN-NaN-NaN",
"Symphony no. 2","Brahms, Johannes","Luck's Music Library","Missing violin 2 (5). This set consists of three different editions--consider ordering new full Luck's set","Good","61 B813 sym no.2 L","NaN-NaN-NaN",
"Tragic Overture","Brahms, Johannes","Luck's Music Library","","Good","61 B813 ovt Op. 81 L","NaN-NaN-NaN",
"Symphony no. 3","Bruckner, Anton","Kalmus","Missing violin 1 (6, 7, 8); extra wind parts included in separate folder","Fair","61 B888 sym no.3 K","NaN-NaN-NaN",
"Appalachian Spring Suite (full orchestra version, 1945)","Copland, Aaron","Boosey & Hawkes","Missing percussion part; paper copies only provided. ***This set is to be used as reading/lab material only, not in a performance.***","Good","61 C784 ssu BH","07-14-2012","09-11-2021"
"Fanfare for the Common Man","Copland, Aaron","Boosey & Hawkes","","Excellent","63 C784 fnf BH","NaN-NaN-NaN",
"Concerto Grosso IV","Corelli, Arcangelo","Broude Brothers","","Good","51 C797 con BB","NaN-NaN-NaN",
"La Mer","Debussy, Claude","Luck's Music Library","Missing oboe 1, horn 4. Paper extras included in folders; separate folders for strings and wind/brass/percussion","Poor","61 D289 spo L","09-09-2013","07-31-2024"
"Carnival Overture","Dvorak, Antonín","Luck's Music Library","Missing violin 2 (3), cello (3, 5, 6)","Excellent","61 D988 ovt Op. 92 L","NaN-NaN-NaN",
"Symphony no 9 ""From the New World""","Dvorak, Antonín","Luck's Music Library","Extra wind/brass/percussion set included","Good","61 D988 sym no.9 L","NaN-NaN-NaN",
"Symphony no. 8","Dvorak, Antonín","Luck's Music Library","","Excellent","61 D988 sym no.8 L","NaN-NaN-NaN",
"Eclogue","Finzi, Gerald","Boosey & Hawkes","Two sets of string parts; one bowed, one blank. Three scores included.","Excellent","661 F516 cha BH","NaN-NaN-NaN",
"Holberg Suite","Grieg, Edvard","Breitkopf & Härtel","","Excellent","61 G848 ssu BKH","NaN-NaN-NaN",
"Cello Concerto no. 2 in D Major","Haydn, Joseph","Kalmus",,"Excellent","6623 H415 con no.2 K","09-10-2025",
"Symphony no. 1","Haydn, Joseph","Other/Unknown","","Good","61 H415 sym no.1 other","NaN-NaN-NaN",
"Symphony no. 44 ""Trauer""/""Mourning""","Haydn, Joseph","Doblinger","Violin 1 (2), cello (1)","Good","61 H415 sym 1/44 DB","NaN-NaN-NaN",
"Symphony no. 94 ""Surprise""","Haydn, Joseph","Barenreiter","Missing violin 1 (3)","Excellent","61 H415 sym 1/94 B","08-10-2011",
"Sinfonietta in E (1949)","Hindemith, Paul","Other/Unknown","Copies only","Poor","61 H662 sfn other","NaN-NaN-NaN",
"Trauermusik (Music of Mourning)","Hindemith, Paul","Schott Music","Missing violin 1 (2)","Excellent","6622 H662 con SM","12-01-2013",
"The Planets","Holst, Gustav","Other/Unknown","Winds and strings in separate folders","Excellent","61 H756 ssu Op. 32 other","NaN-NaN-NaN",
"Concerto for Trumpet and Orchestra","Hummel, Johann Nepomuk","Kalmus","","Excellent","6636 H925 con K","NaN-NaN-NaN",
"Newly Drawn Sky","Kernis, Aaron Jay","Boosey & Hawkes","Missing all wind parts except flute 3/piccolo; copies only","Good","61 K35 cha BH","NaN-NaN-NaN",
"Les Preludes","Liszt, Franz","Luck's Music Library","","Good","61 L774 spo L","NaN-NaN-NaN",
"Symphony no. 1 ""Titan"" (1905 version)","Mahler, Gustav","Luck's Music Library","","Excellent","61 M214 sym no.1 L","NaN-NaN-NaN",
"String Sinfonia no. 10","Mendelssohn-Bartholdy, Felix","Other/Unknown","Copyright @ 2011 Philip Legge","Good","62 M537 sfn no.10 other","09-11-2025",
"Don Giovanni","Mozart, Wolfgang Amadeus","Luck's Music Library","Scans are of overture only","Excellent","91 M939 opr KV 527 L","05-17-2023","05-05-2025"
"Piano Concerto no. 21","Mozart, Wolfgang Amadeus","Kalmus",,"Excellent","661 M939 con no.21 K","09-11-2025",
"String Quartet no. 19 in C Major","Mozart, Wolfgang Amadeus","Other/Unknown","Edition Carlo Barato","Fair","52 M939 cm no.19 other","03-16-2022","09-08-2025"
"The Magic Flute","Mozart, Wolfgang Amadeus","Kalmus","Scans are of overture only; additional parts included are Act I scene 7 ""Bei Mannern.""","Good","91 M939 opr KV 620 K","08-08-2012","02-12-2020"
"The Marriage of Figaro","Mozart, Wolfgang Amadeus","Luck's Music Library",,"Good","91 M939 opr L","08-08-2012","01-23-2016"
"Septet and Act III Finale from Tales of Hoffmann","Offenbach, Jacques","Luck's Music Library","Scene only","Excellent","91 O32 opr L","07-31-2010","03-03-2022"
"Concertino in B-flat","Pergolesi, Giovanni Battista","BMG Ricordi Music Publishing","PO bowing masters included","Excellent","52 P439 ctn BMG","09-22-1998","03-31-2006"
"Anything Cole, Songs of Cole Porter","Porter, Cole","Other/Unknown",,"Excellent","61 P840 ssu other","10-29-2004","06-12-2023"
